id,question,eventId,askedByUserPublicProfileId,askedAtUTC,validated
1,"What inspired you to start this event?",1,1,"2023-10-01T10:00:00Z",true
2,"What are the key topics you will be discussing?",1,2,"2023-10-02T11:00:00Z",true
3,"Can you share some success stories from past events?",1,3,"2023-10-03T12:00:00Z",false
4,"What advice do you have for aspiring entrepreneurs?",1,4,"2023-10-04T13:00:00Z",true
5,"How do you see the future of AI evolving?",1,5,"2023-10-05T14:00:00Z",false
6,"What are the biggest challenges in digital marketing today?",1,6,"2023-10-06T15:00:00Z",true
7,"What skills are essential for a career in cybersecurity?",1,7,"2023-10-07T16:00:00Z",false
8,"Can you recommend any resources for learning about blockchain?",1,8,"2023-10-08T17:00:00Z",true
9,"What trends do you see in the future of web development?",1,9,"2023-10-09T18:00:00Z",true
10,"How can I get started with mobile app development?",1,10,"2023-10-10T19:00:00Z",false
11,"What are the key skills needed for a career in cloud computing?",1,11,"2023-10-11T10:00:00Z",true
12,"How can startups leverage big data analytics?",1,12,"2023-10-12T11:00:00Z",true
13,"What are the latest trends in UX/UI design?",1,13,"2023-10-13T12:00:00Z",false
14,"What are the benefits of attending a digital marketing seminar?",1,14,"2023-10-14T13:00:00Z",true
15,"How can I get started with product management?",1,15,"2023-10-15T14:00:00Z",false
16,"What are the key takeaways from the Tech Conference 2025?",1,16,"2023-10-16T15:00:00Z",true
17,"What are the common pitfalls in startup pitches?",1,17,"2023-10-17T16:00:00Z",false
18,"How can AI be applied in real-world scenarios?",1,18,"2023-10-18T17:00:00Z",true
19,"What are the latest advancements in blockchain technology?",1,19,"2023-10-19T18:00:00Z",true
20,"What are the best practices for web development?",1,20,"2023-10-20T19:00:00Z",false
21,"How can digital marketing strategies be optimized?",1,1,"2023-10-21T10:00:00Z",true
22,"What are the emerging threats in cybersecurity?",1,2,"2023-10-22T11:00:00Z",true
23,"How can data science be used to drive business decisions?",1,3,"2023-10-23T12:00:00Z",false
24,"What are the key components of a successful product management strategy?",1,4,"2023-10-24T13:00:00Z",true
25,"What are the latest trends in mobile app development?",1,5,"2023-10-25T14:00:00Z",false
26,"How can cloud computing improve business efficiency?",1,6,"2023-10-26T15:00:00Z",true
27,"What are the challenges in implementing big data analytics?",1,7,"2023-10-27T16:00:00Z",true
28,"How can UX/UI design impact user experience?",1,8,"2023-10-28T17:00:00Z",false
29,"What are the key metrics to track in digital marketing?",1,9,"2023-10-29T18:00:00Z",true
30,"How can aspiring entrepreneurs benefit from attending the Entrepreneurship Bootcamp?",1,10,"2023-10-30T19:00:00Z",true
31,"What are the key trends in virtual reality technology?",2,11,"2023-10-31T10:00:00Z",false
32,"How can fintech innovations impact the financial industry?",2,12,"2023-11-01T11:00:00Z",true
33,"What are the best practices for implementing DevOps?",2,13,"2023-11-02T12:00:00Z",true
34,"How can game developers stay updated with the latest trends?",2,14,"2023-11-03T13:00:00Z",false
35,"What are the latest advancements in robotics technology?",2,15,"2023-11-04T14:00:00Z",true
36,"How can health technology improve patient care?",2,16,"2023-11-05T15:00:00Z",true
37,"What are the key skills needed for a career in cloud computing?",2,17,"2023-11-06T16:00:00Z",false
38,"How can startups leverage big data analytics?",2,18,"2023-11-07T17:00:00Z",true
39,"What are the latest trends in UX/UI design?",2,19,"2023-11-08T18:00:00Z",true
40,"What are the benefits of attending a digital marketing seminar?",2,20,"2023-11-09T19:00:00Z",false
41,"How can I get started with product management?",2,1,"2023-11-10T10:00:00Z",true
42,"What are the key takeaways from the Tech Conference 2025?",2,2,"2023-11-11T11:00:00Z",true
43,"What are the common pitfalls in startup pitches?",2,3,"2023-11-12T12:00:00Z",false
44,"How can AI be applied in real-world scenarios?",2,4,"2023-11-13T13:00:00Z",true
45,"What are the latest advancements in blockchain technology?",2,5,"2023-11-14T14:00:00Z",true
46,"What are the best practices for web development?",2,6,"2023-11-15T15:00:00Z",false
47,"How can digital marketing strategies be optimized?",2,7,"2023-11-16T16:00:00Z",true
48,"What are the emerging threats in cybersecurity?",2,8,"2023-11-17T17:00:00Z",true
49,"How can data science be used to drive business decisions?",2,9,"2023-11-18T18:00:00Z",false
50,"What are the key components of a successful product management strategy?",2,10,"2023-11-19T19:00:00Z",true
51,"What are the latest trends in mobile app development?",2,11,"2023-11-20T10:00:00Z",false
52,"How can cloud computing improve business efficiency?",2,12,"2023-11-21T11:00:00Z",true
53,"What are the challenges in implementing big data analytics?",2,13,"2023-11-22T12:00:00Z",true
54,"How can UX/UI design impact user experience?",2,14,"2023-11-23T13:00:00Z",false
55,"What are the key metrics to track in digital marketing?",2,15,"2023-11-24T14:00:00Z",true
56,"How can aspiring entrepreneurs benefit from attending the Entrepreneurship Bootcamp?",2,16,"2023-11-25T15:00:00Z",true
57,"What are the key trends in virtual reality technology?",2,17,"2023-11-26T16:00:00Z",false
58,"How can fintech innovations impact the financial industry?",2,18,"2023-11-27T17:00:00Z",true
59,"What are the best practices for implementing DevOps?",2,19,"2023-11-28T18:00:00Z",true
60,"How can game developers stay updated with the latest trends?",2,20,"2023-11-29T19:00:00Z",false
1,"What inspired you to start this event?",1,1,"2023-10-01T10:00:00Z",true
2,"What are the key topics you will be discussing?",1,2,"2023-10-02T11:00:00Z",true
3,"Can you share some success stories from past events?",1,3,"2023-10-03T12:00:00Z",false
4,"What advice do you have for aspiring entrepreneurs?",1,4,"2023-10-04T13:00:00Z",true
5,"How do you see the future of AI evolving?",1,5,"2023-10-05T14:00:00Z",false
6,"What are the biggest challenges in digital marketing today?",1,6,"2023-10-06T15:00:00Z",true
7,"What skills are essential for a career in cybersecurity?",1,7,"2023-10-07T16:00:00Z",false
8,"Can you recommend any resources for learning about blockchain?",1,8,"2023-10-08T17:00:00Z",true
9,"What trends do you see in the future of web development?",1,9,"2023-10-09T18:00:00Z",true
10,"How can I get started with mobile app development?",1,10,"2023-10-10T19:00:00Z",false
11,"What are the key skills needed for a career in cloud computing?",1,11,"2023-10-11T10:00:00Z",true
